url,length,has_https,num_dots,suspicious_keywords,is_phishing
https://smith.com/be-give-foreign,33,1,1,0,0
https://richmond-martin.com/reason-race-feel,44,1,1,0,0
https://hunt-smith.com/recently-plan-teach,42,1,1,0,0
http://benton.com/account.php?id=2353,37,0,2,1,1
http://davis-curtis.com/update.php?id=9647,42,0,2,1,1
https://stewart.org/though-last-make,36,1,1,0,0
http://nelson.com/update.php?id=3532,36,0,2,1,1
https://hall-hernandez.biz/very-room-certainly,46,1,1,0,0
https://cain.org/dog-bar-join-ahead,35,1,1,0,0
http://villegas.com/account.php?id=7572,39,0,2,1,1
https://hill.info/mission-culture,33,1,1,0,0
https://miller.com/worry-concern-house,38,1,1,0,0
https://long-gardner.com/blood-job-well,39,1,1,0,0
https://rodriguez.org/as-fill-measure,37,1,1,0,0
https://murphy-knight.com/discussion-western,44,1,1,0,0
http://oconnor-nguyen.com/update.php?id=3426,44,0,2,1,1
http://gutierrez.com/login.php?id=9617,38,0,2,1,1
http://nunez.info/verify.php?id=2143,36,0,2,1,1
https://todd.net/color-relationship,35,1,1,0,0
http://reed.org/login.php?id=9856,33,0,2,1,1
http://miller.info/account.php?id=3939,38,0,2,1,1
http://bird.com/login.php?id=5978,33,0,2,1,1
http://garcia.com/update.php?id=1853,36,0,2,1,1
http://roach.com/login.php?id=4814,34,0,2,1,1
http://jones-burns.com/secure.php?id=2291,41,0,2,1,1
http://guerra.com/login.php?id=8269,35,0,2,1,1
http://sanders.com/secure.php?id=6559,37,0,2,1,1
http://smith.com/verify.php?id=4116,35,0,2,1,1
http://morrison-hale.net/secure.php?id=6150,43,0,2,1,1
https://frye-gonzalez.com/huge-recent-third,43,1,1,0,0
https://newman.com/sister-sit-run,33,1,1,0,0
http://morgan.com/secure.php?id=3481,36,0,2,1,1
http://foster.com/secure.php?id=5743,36,0,2,1,1
http://obrien.com/verify.php?id=8135,36,0,2,1,1
https://hubbard.biz/put-technology,34,1,1,0,0
http://mitchell-jackson.com/secure.php?id=9117,46,0,2,1,1
https://stanley.com/peace-large-us-hope,39,1,1,0,0
https://kelly.org/simply-machine,32,1,1,0,0
http://mullen.com/verify.php?id=5351,36,0,2,1,1
https://baker.com/news-prove-remember,37,1,1,0,0
https://valenzuela.com/building-fill,36,1,1,0,0
https://boyer.com/picture-material,34,1,1,0,0
http://hall.com/login.php?id=3324,33,0,2,1,1
http://parrish-terrell.biz/update.php?id=5479,45,0,2,1,1
https://lee.net/whether-fight-may,33,1,1,0,0
https://smith.com/trouble-air-serve,35,1,1,0,0
http://nelson-hamilton.org/verify.php?id=2845,45,0,2,1,1
http://estes.com/update.php?id=2312,35,0,2,1,1
https://brown.com/long-choice,29,1,1,0,0
http://wallace-rogers.com/update.php?id=9692,44,0,2,1,1
http://mitchell-lloyd.com/secure.php?id=5982,44,0,2,1,1
http://ortiz.com/secure.php?id=5097,35,0,2,1,1
https://miller.com/give-light-left,34,1,1,0,0
http://robinson.com/secure.php?id=1251,38,0,2,1,1
https://velasquez.biz/themselves-decade,39,1,1,0,0
http://mills.org/account.php?id=5616,36,0,2,1,1
http://yates.com/account.php?id=3392,36,0,2,1,1
https://miller-schultz.org/suddenly-only-time,45,1,1,0,0
http://wilson-mcneil.com/login.php?id=7912,42,0,2,1,1
https://mitchell-garner.com/car-past-start,42,1,1,0,0
https://alvarez-mccoy.org/majority-far-group,44,1,1,0,0
http://griffith-winters.com/account.php?id=7929,47,0,2,1,1
https://wu-turner.com/moment-civil-four,39,1,1,0,0
http://henderson-mitchell.com/secure.php?id=4919,48,0,2,1,1
http://bell-young.com/account.php?id=4770,41,0,2,1,1
https://kim.com/together-effort,31,1,1,0,0
http://peters.com/verify.php?id=4929,36,0,2,1,1
https://estes.com/our-boy-lot,29,1,1,0,0
http://griffin.biz/verify.php?id=9196,37,0,2,1,1
https://krause.com/stuff-sell-small,35,1,1,0,0
https://crosby-conley.com/decision-necessary,44,1,1,0,0
http://harris.com/secure.php?id=7246,36,0,2,1,1
http://trujillo-reed.org/login.php?id=8102,42,0,2,1,1
https://chan.com/information,28,1,1,0,0
http://edwards.net/secure.php?id=6460,37,0,2,1,1
https://dominguez.com/in-within-scene,37,1,1,0,0
http://mcbride.biz/login.php?id=3068,36,0,2,1,1
https://rodriguez.org/expert-news-claim,39,1,1,0,0
http://collins-herman.com/login.php?id=7018,43,0,2,1,1
https://bryant.com/from-two-single,34,1,1,0,0
http://brown.com/update.php?id=5658,35,0,2,1,1
https://williams.com/put-right-set,34,1,1,0,0
http://peters.com/login.php?id=9889,35,0,2,1,1
